bench,ORDER,n,t
create,2,1583,0.000163856
create,2,1599,0.000163757125
create,2,1615,0.000165339125
create,2,1631,0.00016648175
create,2,1647,0.00016661925000000004
create,2,1663,0.000167031125
create,2,1679,0.00016662450000000002
create,2,1695,0.00016657537499999996
create,2,1711,0.00016945325
create,2,1727,0.00016769574999999997
create,2,1743,0.00016867925
create,2,1759,0.000165559125
create,2,1775,0.000161784875
create,2,1791,0.0001628895
create,2,1807,0.00016837675000000001
create,2,1823,0.000170189875
create,2,1839,0.000166838625
create,2,1855,0.000170157125
create,2,1871,0.000167476375
create,2,1887,0.00016700950000000003
create,2,1903,0.00016672924999999999
create,2,1919,0.000165383
create,2,1935,0.000171338375
create,2,1951,0.000166202125
create,2,1967,0.00016596575
create,2,1983,0.00016526775000000001
create,2,1999,0.0001697505
create,2,2015,0.00016821762499999996
create,2,2031,0.000169964625
create,2,2047,0.000168300125
create,2,2063,0.00016989324999999998
create,2,2079,0.0001685365
create,2,2095,0.00016765775
create,2,2111,0.00017116225
create,2,2127,0.00017120087500000001
create,2,2143,0.0001696025
create,2,2159,0.00016928362500000002
create,2,2175,0.00016542224999999998
create,2,2191,0.00016868975
create,2,2207,0.00017207375
create,2,2223,0.00016645425
create,2,2239,0.00017146475
create,2,2255,0.00016855812500000004
create,2,2271,0.00017056375000000003
create,2,2287,0.00017219487499999997
create,2,2303,0.00017128862500000001
create,2,2319,0.00017214050000000002
create,2,2335,0.000171008375
create,2,2351,0.00017165725
create,2,2367,0.00017113475000000002
create,2,2383,0.00017076675000000002
create,2,2399,0.000172925625
create,2,2415,0.00016906887500000003
create,2,2431,0.00017350249999999997
create,2,2447,0.00017319475
create,2,2463,0.00017398575000000002
create,2,2479,0.000173695
create,2,2495,0.00017122312499999999
create,2,2511,0.00017881487499999999
create,2,2527,0.0001751565
create,2,2543,0.00017102475
create,2,2559,0.0001713875
create,2,2575,0.00017677650000000002
create,2,2591,0.000171255875
create,2,2607,0.00017434262499999996
create,2,2623,0.00016967912500000002
create,2,2639,0.000171711625
create,2,2655,0.00017537
create,2,2671,0.00017509562499999997
create,2,2687,0.00017172275
create,2,2703,0.00017438712500000004
create,2,2719,0.000176007125
create,2,2735,0.00017523837500000002
create,2,2751,0.000177248
create,2,2767,0.0001760955
create,2,2783,0.00017564500000000002
create,2,2799,0.00017176075
create,2,2815,0.00017238149999999997
create,2,2831,0.00017590887499999998
create,2,2847,0.0001738705
create,2,2863,0.00017772662499999998
create,2,2879,0.00017922674999999998
create,2,2895,0.00017667699999999998
create,2,2911,0.0001766665
create,2,2927,0.0001804735
create,2,2943,0.00017581525000000004
create,2,2959,0.00017714387499999994
create,2,2975,0.000172074375
create,2,2991,0.000180594625
create,2,3007,0.00017045900000000006
create,2,3023,0.00017930274999999998
create,2,3039,0.00017245875000000002
create,2,3055,0.00017716087500000005
create,2,3071,0.00017904475
create,2,3087,0.0001790015
create,2,3103,0.00017549112500000002
create,2,3119,0.00017655062499999998
create,2,3135,0.00018129137499999997
create,2,3151,0.00017442575
create,2,3167,0.00017917699999999996
create,2,3183,0.00017959412500000006
