bench,ORDER,n,t
create,2,227,0.000125968625
create,2,228,0.00012442987499999998
create,2,229,0.000123430625
create,2,230,0.000124974625
create,2,231,0.00012983650000000002
create,2,232,0.000125177625
create,2,233,0.00012680875
create,2,234,0.00012852887499999996
create,2,235,0.0001257715
create,2,236,0.00012884775
create,2,237,0.00012488687500000002
create,2,238,0.00012673800000000002
create,2,239,0.00012404612499999996
create,2,240,0.00012835275
create,2,241,0.000125913625
create,2,242,0.000126787125
create,2,243,0.000124128625
create,2,244,0.00012662275000000002
create,2,245,0.00012490325
create,2,246,0.00012608974999999998
create,2,247,0.00012728212500000003
create,2,248,0.0001284955
create,2,249,0.00012660575000000002
create,2,250,0.000127364
create,2,251,0.00012969900000000002
create,2,252,0.00012543037500000002
create,2,253,0.00012819825
create,2,254,0.000127929125
create,2,255,0.00012918237499999998
create,2,256,0.000128676875
create,2,257,0.00013095687499999997
create,2,258,0.00012651275000000002
create,2,259,0.00013108849999999997
create,2,260,0.000130083375
create,2,261,0.000132033375
create,2,262,0.00013004474999999996
create,2,263,0.0001278695
create,2,264,0.00013015412500000002
create,2,265,0.00013035249999999998
create,2,266,0.000130231375
create,2,267,0.00013038525
create,2,268,0.000129012125
create,2,269,0.00013113237499999997
create,2,270,0.000128023375
create,2,271,0.000126556625
create,2,272,0.00012626
create,2,273,0.000129638125
create,2,274,0.00013102824999999997
create,2,275,0.00012935787499999997
create,2,276,0.000129412875
create,2,277,0.00013264824999999997
create,2,278,0.000126732125
create,2,279,0.00013100075
create,2,280,0.000129555625
create,2,281,0.000129270125
create,2,282,0.00013130787499999997
create,2,283,0.00013063274999999998
create,2,284,0.00013173612500000002
create,2,285,0.00013031387499999998
create,2,286,0.00012857275
create,2,287,0.00012770450000000003
create,2,288,0.000128363875
create,2,289,0.00012858912500000001
create,2,290,0.00013083575
create,2,291,0.000129660375
create,2,292,0.00013105575
create,2,293,0.00012839137500000002
create,2,294,0.000129957
create,2,295,0.00013620837500000001
create,2,296,0.00013330237499999998
create,2,297,0.000129605375
create,2,298,0.000127665875
create,2,299,0.000132060875
create,2,300,0.00013336262499999998
create,2,301,0.000131500375
create,2,302,0.0001309785
create,2,303,0.000131159875
create,2,304,0.000131385125
create,2,305,0.000128797375
create,2,306,0.00013206612499999995
create,2,307,0.00013024249999999999
create,2,308,0.00013177537499999998
create,2,309,0.000135873125
create,2,310,0.00013201174999999998
create,2,311,0.00012788
create,2,312,0.00013107737499999997
create,2,313,0.00013237974999999994
create,2,314,0.00013275300000000002
create,2,315,0.000138015625
create,2,316,0.00013453275
create,2,317,0.0001323575
create,2,318,0.00013667
create,2,319,0.0001338295
create,2,320,0.00013292325
create,2,321,0.00013359899999999998
create,2,322,0.00013176424999999996
create,2,323,0.00013345100000000003
create,2,324,0.00013483525
create,2,325,0.00013195087499999998
create,2,326,0.00013580174999999997
create,2,327,0.000134422125
create,2,328,0.00013340125
create,2,329,0.00013098962499999997
create,2,330,0.00013373649999999998
create,2,331,0.0001329835
create,2,332,0.000132654125
create,2,333,0.000130116125
create,2,334,0.00013270325000000002
create,2,335,0.000134351375
create,2,336,0.000133642875
create,2,337,0.00013183037499999998
create,2,338,0.00013287937500000002
create,2,339,0.00013652074999999999
create,2,340,0.000134934125
create,2,341,0.00013134125
create,2,342,0.000132263875
create,2,343,0.00013131375
create,2,344,0.000131978375
create,2,345,0.000136070875
create,2,346,0.00013102237499999997
create,2,347,0.00013487325
create,2,348,0.000131379875
create,2,349,0.000130435
create,2,350,0.00013148400000000002
create,2,351,0.000133895625
create,2,352,0.00013328599999999998
create,2,353,0.00013425837499999997
create,2,354,0.00013245112500000003
create,2,355,0.0001341045
create,2,356,0.00013321987499999999
create,2,357,0.00013203275
create,2,358,0.000134005625
create,2,359,0.000137685625
create,2,360,0.000133703125
create,2,361,0.000133835375
create,2,362,0.000132588
create,2,363,0.000135714
create,2,364,0.00013432912499999997
create,2,365,0.00013192925
create,2,366,0.000131242375
create,2,367,0.00013839475
create,2,368,0.00013385699999999998
create,2,369,0.00013482412499999998
create,2,370,0.00013480774999999998
create,2,371,0.00013434087500000002
create,2,372,0.000131171
create,2,373,0.000134813
create,2,374,0.000135862625
create,2,375,0.000134736375
create,2,376,0.000133813125
create,2,377,0.00013483462499999999
create,2,378,0.00013808174999999998
create,2,379,0.000132753
create,2,380,0.000134829375
create,2,381,0.0001360545
create,2,382,0.00013797175
create,2,383,0.00013548874999999995
create,2,384,0.000135109625
create,2,385,0.00013224225
create,2,386,0.00013801037499999998
create,2,387,0.00013501074999999998
create,2,388,0.000133324625
create,2,389,0.00013653249999999998
create,2,390,0.00013448887500000004
create,2,391,0.00013858137499999997
create,2,392,0.000137136875
create,2,393,0.000131374
create,2,394,0.00013959824999999998
create,2,395,0.00013354925
create,2,396,0.00013491187499999998
create,2,397,0.000133978125
create,2,398,0.00013561512499999997
create,2,399,0.0001360165
create,2,400,0.00013713687499999997
create,2,401,0.000135346
create,2,402,0.00013526875
create,2,403,0.00013449999999999996
create,2,404,0.00013762012500000002
create,2,405,0.00013801562499999998
create,2,406,0.00013832925
create,2,407,0.000135928125
create,2,408,0.000139466
create,2,409,0.00013693324999999998
create,2,410,0.000135164625
create,2,411,0.00013515937499999998
create,2,412,0.000135900625
create,2,413,0.00013506574999999998
create,2,414,0.000137307125
create,2,415,0.00013898212500000002
create,2,416,0.00013588950000000002
create,2,417,0.00013678525
create,2,418,0.00013607087500000002
create,2,419,0.000136615
create,2,420,0.000135582375
create,2,421,0.00013897162500000002
create,2,422,0.000139169375
create,2,423,0.000136999375
create,2,424,0.00013818062500000003
create,2,425,0.00013929574999999999
create,2,426,0.000136406125
create,2,427,0.00013971287499999998
create,2,428,0.00013668637500000003
create,2,429,0.000141691
create,2,430,0.0001369555
create,2,431,0.00013816425
create,2,432,0.000140723875
create,2,433,0.00013564200000000003
create,2,434,0.000139592375
create,2,435,0.00013909212500000002
create,2,436,0.00013636224999999998
create,2,437,0.00013763650000000002
create,2,438,0.000138576125
create,2,439,0.00013936124999999999
create,2,440,0.00013446137500000002
create,2,441,0.000138362
create,2,442,0.000136318375
